book,chapter,origin_list
"Math_5_4",1,"[ ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"" ]"
"Math_5_4",2,"[ ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""1"", ""2"", ""1"", ""1"", ""1"", ""1"", ""2"", ""2"", ""2"", ""2"", ""1"", ""2"", ""1"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"" ]"
"Math_5_4",3,"[ ""1"", ""1"", ""3"", ""3"", ""2"", ""2"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"" ]"
"Math_5_4",4,"[ ""1"", ""1"", ""3"", ""1"", ""1"", ""1"", ""1"", ""2"", ""2"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""4"", ""4"", ""3"", ""3"", ""3"", ""4"", ""1"", ""2"", ""2"", ""1"", ""4"" ]"
"Math_5_4",5,"[ ""1"", ""2"", ""2"", ""2"", ""2"", ""2"", ""1"", ""1"", ""1"", ""5"", ""3"", ""3"", ""3"", ""3"", ""3"", ""4"", ""1"", ""4"", ""4"", ""3"", ""3"", ""1"", ""1"", ""1"", ""1"", ""5"" ]"
"Math_5_4",6,"[ ""6"", ""6"", ""6"", ""6"", ""6"", ""6"", ""6"", ""6"", ""6"", ""6"", ""1"", ""1"", ""1"", ""2"", ""6"", ""3"", ""3"", ""3"", ""5"", ""4"", ""4"", ""2"", ""2"", ""2"", ""1"", ""1"" ]"
"Math_5_4",7,"[ ""1"", ""1"", ""2"", ""2"", ""6"", ""6"", ""6"", ""6"", ""7"", ""7"", ""7"", ""7"", ""7"", ""1"", ""3"", ""3"", ""3"", ""3"", ""4"", ""6"", ""5"", ""3"", ""1"", ""1"", ""1"", ""6"" ]"
"Math_5_4",8,"[ ""7"", ""7"", ""7"", ""2"", ""2"", ""2"", ""2"", ""8"", ""8"", ""8"", ""8"", ""6"", ""6"", ""6"", ""6"", ""1, 8"", ""7"", ""5"", ""3"", ""3"", ""1"", ""1"", ""1"", ""1"", ""6"", ""6"" ]"
"Math_5_4",9,"[ ""7"", ""7"", ""7"", ""2"", ""2"", ""2"", ""2"", ""9"", ""9"", ""9"", ""9"", ""6"", ""6"", ""6"", ""6"", ""1"", ""6"", ""5"", ""3"", ""3"", ""4"", ""9"", ""9"", ""9"", ""1, 9"", ""7"" ]"
"Math_5_4",10,"[ ""7"", ""7"", ""6"", ""7"", ""7"", ""10"", ""2"", ""2"", ""2"", ""2"", ""6"", ""6"", ""6"", ""6"", ""9"", ""9"", ""9"", ""9"", ""3"", ""3, 5"", ""1, 8"", ""1"", ""5"", ""7"", ""10"", ""6"" ]"
"Math_5_4",11,"[ ""1"", ""11"", ""7"", ""i1"", ""i1"", ""10"", ""i1"", ""10"", ""2"", ""2"", ""2"", ""2"", ""6"", ""6"", ""6"", ""6"", ""9"", ""9"", ""9"", ""9"", ""i1"", ""3"", ""6"", ""1"", ""1"", ""1"" ]"
"Math_5_4",12,"[ ""11"", ""1, 9"", ""7"", ""7"", ""5"", ""4"", ""i1"", ""2"", ""2"", ""2"", ""2"", ""12"", ""6"", ""6"", ""12"", ""12"", ""12"", ""9"", ""9"", ""3"", ""3"", ""3"", ""i1"", ""i1"", ""1"", ""6"" ]"
"Math_5_4",13,"[ ""1, 9"", ""11"", ""7"", ""7"", ""i1"", ""i1"", ""6"", ""i1"", ""13"", ""13"", ""13"", ""13"", ""2"", ""2"", ""2"", ""2"", ""12"", ""6"", ""6"", ""12"", ""12"", ""12"", ""12"", ""9"", ""3, i1"", ""7"" ]"
"Math_5_4",14,"[ ""1"", ""11"", ""10"", ""6"", ""14"", ""i1"", ""5"", ""i1"", ""13"", ""13"", ""13"", ""13"", ""14"", ""12"", ""1"", ""12"", ""1"", ""12"", ""2"", ""14"", ""14"", ""14"", ""14"", ""14"", ""3, i1"", ""12"" ]"
"Math_5_4",15,"[ ""1, 13"", ""11, 14"", ""10"", ""7"", ""10"", ""i1"", ""14"", ""i1"", ""13"", ""13"", ""13"", ""13"", ""1"", ""12"", ""14"", ""12"", ""14"", ""15"", ""15"", ""15"", ""5"", ""6"", ""1"", ""3"", ""i1"", ""1"" ]"
"Math_5_4",16,"[ ""11, 14"", ""1, 13"", ""6"", ""16"", ""10"", ""i1"", ""3"", ""i1"", ""13"", ""13"", ""13"", ""13"", ""14"", ""12"", ""1"", ""12"", ""15"", ""15"", ""15"", ""15"", ""16"", ""16"", ""16"", ""16"", ""3, i1"", ""6"" ]"
"Math_5_4",17,"[ ""11"", ""1, 13"", ""10"", ""7, 16"", ""10"", ""i1"", ""17"", ""13"", ""13"", ""13"", ""17"", ""12"", ""1"", ""16"", ""12"", ""12"", ""15"", ""15"", ""14"", ""16"", ""16"", ""16"", ""3"", ""3"", ""6"", ""1, 6"" ]"
"Math_5_4",18,"[ ""11, 14"", ""1, 13"", ""6"", ""4"", ""3, 5"", ""i1"", ""13"", ""13"", ""13"", ""13"", ""17"", ""16"", ""1"", ""12"", ""15"", ""15"", ""17"", ""16"", ""14"", ""16"", ""16"", ""14"", ""16"", ""i1"", ""18"", ""10"" ]"
