book,chapter,origin_list
"Math_8_7",1,"[ ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"" ]"
"Math_8_7",2,"[ ""1"", ""1"", ""1"", ""2"", ""1"", ""2"", ""2"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""1"", ""1"", ""2"", ""2"", ""1"", ""2"", ""2"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""2"", ""1"", ""2"", ""1"" ]"
"Math_8_7",3,"[ ""1"", ""1, 3"", ""2"", ""3"", ""2"", ""2"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""1"", ""2"", ""2"", ""1"", ""2"", ""1"", ""1"", ""1"", ""2"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"" ]"
"Math_8_7",4,"[ ""1"", ""1, 3"", ""4"", ""1"", ""4"", ""4"", ""4"", ""3"", ""4"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""2"" ]"
"Math_8_7",5,"[ ""5"", ""4, 5"", ""5"", ""5"", ""5"", ""4"", ""4"", ""4"", ""4"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""5"", ""1"", ""1"", ""1"", ""1"", ""2"", ""2"", ""1"", ""1"", ""2"", ""1"", ""2"", ""2"", ""1, 4"", ""1, 4"" ]"
"Math_8_7",6,"[ ""1"", ""6"", ""4"", ""5"", ""6"", ""4"", ""6"", ""4"", ""5"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""1"", ""1"", ""2"" ]"
"Math_8_7",7,"[ ""3"", ""2"", ""6"", ""4"", ""5"", ""6"", ""4"", ""2"", ""7"", ""6"", ""4"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""6"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2, 4"", ""1"", ""7"", ""7"", ""7"", ""7"" ]"
"Math_8_7",8,"[ ""4, 8"", ""8"", ""1"", ""6"", ""8"", ""2, 4"", ""5"", ""8"", ""8"", ""8"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""2, 4"", ""7"", ""7"", ""7"" ]"
"Math_8_7",9,"[ ""1"", ""1"", ""4, 9"", ""5"", ""8"", ""8"", ""7"", ""8"", ""6"", ""1, 9"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""9"", ""9"", ""9"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""9"", ""9"", ""7"", ""2, 8"", ""9"" ]"
"Math_8_7",10,"[ ""2, 9"", ""7"", ""1"", ""8"", ""10"", ""4, 9"", ""8"", ""10"", ""6"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""10"", ""9"", ""10"", ""2"", ""10"", ""1"", ""1"", ""10"", ""9"", ""7"", ""9"", ""2, 8"", ""4"", ""4, 9"" ]"
"Math_8_7",11,"[ ""11"", ""11"", ""11"", ""8, 10"", ""4, 8"", ""10"", ""4"", ""5"", ""6"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""2, 4"", ""10"", ""10"", ""1"", ""1"", ""1"", ""1"", ""9"", ""9"", ""10"", ""8"", ""2, 8"", ""7"", ""8"", ""9"" ]"
"Math_8_7",12,"[ ""11"", ""11"", ""12"", ""12"", ""11"", ""2"", ""5, 12"", ""4, 8"", ""7"", ""10"", ""8"", ""6"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""1"", ""1"", ""9"", ""10"", ""10"", ""1"", ""10"", ""1"", ""2, 8"", ""9"", ""10"", ""7, 8"" ]"
"Math_8_7",13,"[ ""12"", ""11"", ""12"", ""13"", ""13"", ""13"", ""1, 12"", ""8"", ""4"", ""7"", ""6"", ""8"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""1"", ""2"", ""10"", ""9"", ""1"", ""1"", ""2, 4"", ""10"", ""9"", ""7"", ""7"" ]"
"Math_8_7",14,"[ ""11"", ""14"", ""12"", ""13"", ""14"", ""10"", ""5"", ""2"", ""6"", ""7"", ""8"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""10"", ""10"", ""1"", ""1"", ""9"", ""1"", ""1"", ""1"", ""2"", ""4"", ""2, 4"", ""7"", ""9"" ]"
"Math_8_7",15,"[ ""12"", ""11"", ""15"", ""13"", ""8"", ""4"", ""6"", ""15"", ""15"", ""15"", ""7"", ""10"", ""4"", ""3"", ""3"", ""3"", ""3"", ""15"", ""15"", ""9"", ""10"", ""15"", ""9"", ""15"", ""10"", ""15"", ""15"", ""1, 9"", ""15"", ""10, 15"" ]"
"Math_8_7",16,"[ ""14"", ""13"", ""11"", ""5"", ""10, 15"", ""8"", ""15"", ""10"", ""15"", ""16"", ""6"", ""10"", ""2"", ""3"", ""3"", ""3"", ""3"", ""15"", ""10, 16"", ""15"", ""10"", ""1"", ""10, 15"", ""10"", ""1"", ""2, 8"", ""7"", ""10"", ""15"", ""9"" ]"
"Math_8_7",17,"[ ""11"", ""14"", ""13"", ""12"", ""10, 15"", ""7, 17"", ""15"", ""16"", ""15"", ""17"", ""6"", ""7, 8"", ""1, 9"", ""3"", ""3"", ""3"", ""3"", ""15"", ""15"", ""1"", ""1"", ""2, 16"", ""15, 16"", ""15, 16"", ""10"", ""1"", ""2, 9"", ""14"", ""9, 10"", ""15"" ]"
"Math_8_7",18,"[ ""13"", ""11"", ""14"", ""5, 12"", ""4, 10"", ""7"", ""4"", ""15"", ""15"", ""18"", ""7, 18"", ""8, 15"", ""2, 15"", ""9"", ""9, 15"", ""9, 15"", ""9"", ""15"", ""15"", ""1"", ""1"", ""1"", ""2, 16"", ""16"", ""17"", ""17"", ""18"", ""15"", ""9, 10"", ""8, 18"" ]"
"Math_8_7",19,"[ ""14"", ""11"", ""13"", ""1"", ""5"", ""4"", ""16"", ""19"", ""15"", ""15"", ""18"", ""18"", ""17"", ""1, 9"", ""3"", ""3"", ""3"", ""3"", ""10"", ""15"", ""15"", ""15"", ""1"", ""1"", ""9"", ""7, 8"", ""9, 10"", ""15"", ""8, 16"", ""19"" ]"
"Math_8_7",20,"[ ""13"", ""11"", ""14"", ""11"", ""2, 20"", ""4, 8"", ""8"", ""7"", ""20"", ""15"", ""6"", ""16, 19"", ""3"", ""3"", ""3"", ""3"", ""20"", ""3"", ""10, 15"", ""10"", ""1"", ""1"", ""9"", ""10"", ""1, 9"", ""15"", ""10, 15"", ""2, 15"", ""19, 20"", ""19"" ]"
